unit,nationalsecurity,healthcare,education,jobs,crime,immigration,drugaddiction,socialsecurity,terrorism,environment,ranking,treat,issue,quotecondition,issuecondition,pid,ideo,gender,age,race
1475,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,7,Environment,They lose,3rd issue,Strong Democrat,Liberal,Male,65 or over,White/Caucasian
1476,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,5,Immigration,We win,Top issue,Strong Republican,Conservative,Female,55-64,White/Caucasian
1477,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,6,Social security,No quote,3rd issue,Lean Republican,Moderate,Male,45-54,White/Caucasian
1478,NA,NA,NA,NA,NA,1,3,NA,NA,NA,-----13---,8,Drug addiction,We win,3rd issue,Weak Republican,Moderate,Male,65 or over,White/Caucasian
1479,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,1,Health care,They lose,No issue,Independent,Moderate,Female,45-54,White/Caucasian
1480,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,6,Education,No quote,3rd issue,Weak Republican,Conservative,Female,55-64,White/Caucasian
1481,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,8,Immigration,We win,3rd issue,Lean Republican,Conservative,Male,65 or over,White/Caucasian
1482,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,6,Education,No quote,3rd issue,Weak Democrat,Liberal,Female,18-24,Hispanic
1483,NA,NA,NA,NA,NA,NA,NA,NA,1,3,--------13,7,Environment,They lose,3rd issue,Weak Republican,Not Sure,Female,55-64,White/Caucasian
1484,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,3,Health care,No quote,Top issue,Independent,Moderate,Female,45-54,White/Caucasian
1485,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Strong Democrat,Very Liberal,Male,65 or over,Pacific Islander
1486,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,8,Social security,We win,3rd issue,Strong Democrat,Very Liberal,Female,55-64,White/Caucasian
1487,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,3,National security,No quote,Top issue,Independent,Conservative,Male,65 or over,White/Caucasian
1488,NA,NA,NA,NA,3,NA,1,NA,NA,NA,----3-1---,8,Crime,We win,3rd issue,Weak Republican,Conservative,Male,18-24,White/Caucasian
1489,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,8,Terrorism,We win,3rd issue,Strong Democrat,Moderate,Male,35-44,African American
1490,NA,NA,NA,NA,1,NA,NA,NA,NA,3,----1----3,3,Crime,No quote,Top issue,Strong Republican,Moderate,Male,35-44,White/Caucasian
1491,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,6,Immigration,No quote,3rd issue,Weak Democrat,Moderate,Male,65 or over,White/Caucasian
1492,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,4,Education,They lose,Top issue,Lean Republican,Moderate,Female,45-54,White/Caucasian
1493,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,7,Terrorism,They lose,3rd issue,Strong Republican,Very Conservative,Male,55-64,White/Caucasian
1494,NA,3,1,NA,NA,NA,NA,NA,NA,NA,-31-------,5,Education,We win,Top issue,Independent,Moderate,Male,45-54,African American
1495,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,5,Immigration,We win,Top issue,Independent,Very Conservative,Female,65 or over,Other
1496,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,5,Environment,We win,Top issue,Strong Democrat,Very Liberal,Female,65 or over,White/Caucasian
1497,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,4,Social security,They lose,Top issue,Lean Republican,Moderate,Male,65 or over,White/Caucasian
1498,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,6,Immigration,No quote,3rd issue,Lean Democrat,Moderate,Male,55-64,Other
1499,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Strong Democrat,Very Liberal,Male,55-64,Hispanic
1500,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,7,Environment,They lose,3rd issue,Lean Republican,Moderate,Female,18-24,White/Caucasian
1501,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,4,Social security,They lose,Top issue,Strong Democrat,Moderate,Female,35-44,African American
1502,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,5,Education,We win,Top issue,Lean Democrat,Liberal,Female,35-44,White/Caucasian
1503,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,3,Health care,No quote,Top issue,Strong Democrat,Liberal,Female,55-64,White/Caucasian
1504,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,8,Immigration,We win,3rd issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
1505,NA,NA,NA,3,NA,NA,NA,NA,1,NA,---3----1-,4,Terrorism,They lose,Top issue,Weak Republican,Moderate,Female,18-24,White/Caucasian
1506,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,3,Jobs,No quote,Top issue,Strong Republican,Moderate,Male,35-44,White/Caucasian
1507,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,2,Jobs,We win,No issue,Weak Republican,Conservative,Male,35-44,White/Caucasian
1508,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,6,Education,No quote,3rd issue,Not sure,Very Liberal,Male,35-44,White/Caucasian
1509,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,0,National security,No quote,No issue,Strong Republican,Conservative,Male,35-44,Other
1510,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,7,National security,They lose,3rd issue,Independent,Very Liberal,Female,35-44,White/Caucasian
1511,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,8,Environment,We win,3rd issue,Strong Democrat,Moderate,Female,65 or over,White/Caucasian
1512,NA,NA,NA,NA,NA,1,3,NA,NA,NA,-----13---,1,Immigration,They lose,No issue,Strong Republican,Very Conservative,Male,18-24,White/Caucasian
1513,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,6,Environment,No quote,3rd issue,Strong Democrat,Liberal,Male,25-34,White/Caucasian
1514,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,4,Jobs,They lose,Top issue,Lean Republican,Conservative,Male,18-24,Asian
1515,3,NA,NA,NA,NA,1,NA,NA,NA,NA,3----1----,8,National security,We win,3rd issue,Strong Republican,Conservative,Female,65 or over,White/Caucasian
1516,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,5,Jobs,We win,Top issue,Independent,Not Sure,Female,45-54,White/Caucasian
1517,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3-1-------,6,National security,No quote,3rd issue,Independent,Not Sure,Female,25-34,Other
1518,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,7,Social security,They lose,3rd issue,Lean Republican,Moderate,Female,65 or over,White/Caucasian
1519,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,6,Education,No quote,3rd issue,Not sure,Conservative,Female,18-24,African American
1520,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,7,Education,They lose,3rd issue,Weak Republican,Conservative,Female,65 or over,White/Caucasian
1521,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,5,Social security,We win,Top issue,Strong Democrat,Very Liberal,Female,65 or over,White/Caucasian
1522,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,0,Social security,No quote,No issue,Independent,Liberal,Male,55-64,Asian
1523,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Independent,Very Liberal,Male,18-24,White/Caucasian
1524,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,-----1----,1,Immigration,They lose,No issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
1525,NA,NA,NA,NA,NA,NA,3,NA,1,NA,------3-1-,5,Terrorism,We win,Top issue,Strong Republican,Moderate,Female,65 or over,White/Caucasian
1526,NA,NA,NA,NA,3,NA,NA,1,NA,NA,----3--1--,5,Social security,We win,Top issue,Strong Democrat,Very Liberal,Male,45-54,African American
1527,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,8,Crime,We win,3rd issue,Independent,Conservative,Male,45-54,White/Caucasian
1528,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,0,Crime,No quote,No issue,Independent,Very Liberal,Female,55-64,White/Caucasian
1529,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,7,Terrorism,They lose,3rd issue,Lean Republican,Moderate,Male,55-64,White/Caucasian
1530,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,0,National security,No quote,No issue,Weak Democrat,Moderate,Male,35-44,Hispanic
1531,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,1,Social security,They lose,No issue,Weak Democrat,Liberal,Female,45-54,White/Caucasian
1532,NA,NA,NA,NA,NA,NA,3,NA,NA,1,------3--1,8,Drug addiction,We win,3rd issue,Independent,Liberal,Male,25-34,White/Caucasian
1533,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,2,Health care,We win,No issue,Not sure,Moderate,Female,18-24,White/Caucasian
1534,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,7,Crime,They lose,3rd issue,Independent,Moderate,Female,35-44,Asian
1535,NA,NA,NA,NA,NA,3,NA,1,NA,NA,-----3-1--,6,Immigration,No quote,3rd issue,Strong Democrat,Very Conservative,Male,65 or over,African American
1536,NA,NA,NA,3,NA,NA,NA,NA,NA,1,---3-----1,8,Jobs,We win,3rd issue,Lean Democrat,Moderate,Female,35-44,Asian
1537,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,6,Environment,No quote,3rd issue,Strong Democrat,Very Liberal,Female,25-34,Hispanic
1538,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3-------1-,5,Terrorism,We win,Top issue,Strong Republican,Conservative,Male,35-44,Asian
1539,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,3,Health care,No quote,Top issue,Strong Democrat,Very Liberal,Female,45-54,White/Caucasian
1540,3,NA,NA,NA,NA,NA,NA,NA,1,NA,3-------1-,7,National security,They lose,3rd issue,Lean Republican,Moderate,Female,18-24,White/Caucasian
1541,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,8,Crime,We win,3rd issue,Lean Republican,Liberal,Male,18-24,African American
1542,NA,NA,NA,NA,NA,1,NA,NA,NA,3,-----1---3,8,Environment,We win,3rd issue,Independent,Moderate,Female,25-34,Hispanic
1543,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,0,Social security,No quote,No issue,Strong Democrat,Very Liberal,Female,55-64,White/Caucasian
1544,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,5,Jobs,We win,Top issue,Independent,Conservative,Male,35-44,White/Caucasian
1545,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,3,National security,No quote,Top issue,Strong Democrat,Moderate,Female,45-54,African American
1546,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,2,Jobs,We win,No issue,Lean Republican,Moderate,Female,35-44,White/Caucasian
1547,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,4,Health care,They lose,Top issue,Strong Democrat,Liberal,Male,35-44,White/Caucasian
1548,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,3,National security,No quote,Top issue,Strong Republican,Very Conservative,Male,55-64,White/Caucasian
1549,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,2,Jobs,We win,No issue,Strong Republican,Very Conservative,Male,45-54,White/Caucasian
1550,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,8,Immigration,We win,3rd issue,Lean Republican,Conservative,Female,18-24,White/Caucasian
1551,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,3,Immigration,No quote,Top issue,Independent,Moderate,Male,25-34,White/Caucasian
1552,NA,NA,NA,1,NA,NA,3,NA,NA,NA,---1--3---,5,Jobs,We win,Top issue,Independent,Not Sure,Female,35-44,Pacific Islander
1553,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,4,Jobs,They lose,Top issue,Strong Democrat,Very Liberal,Male,25-34,African American
1554,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,8,Education,We win,3rd issue,Weak Democrat,Liberal,Female,25-34,White/Caucasian
1555,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,2,Jobs,We win,No issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
1556,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,1,Social security,They lose,No issue,Weak Democrat,Moderate,Male,65 or over,White/Caucasian
1557,NA,NA,NA,1,NA,NA,NA,NA,NA,3,---1-----3,4,Jobs,They lose,Top issue,Lean Democrat,Moderate,Male,35-44,Hispanic
1558,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,8,Environment,We win,3rd issue,Strong Democrat,Liberal,Female,45-54,White/Caucasian
1559,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,1,Jobs,They lose,No issue,Weak Republican,Conservative,Male,55-64,White/Caucasian
1560,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,6,National security,No quote,3rd issue,Lean Republican,Conservative,Female,35-44,White/Caucasian
1561,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,2,Immigration,We win,No issue,Strong Republican,Very Conservative,Female,65 or over,White/Caucasian
1562,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,7,Social security,They lose,3rd issue,Strong Republican,Very Conservative,Female,45-54,White/Caucasian
1563,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,0,Environment,No quote,No issue,Independent,Liberal,Male,65 or over,White/Caucasian
1564,NA,NA,NA,NA,NA,1,NA,3,NA,NA,-----1-3--,6,Social security,No quote,3rd issue,Strong Republican,Very Conservative,Female,18-24,White/Caucasian
1565,NA,NA,NA,1,NA,NA,NA,NA,3,NA,---1----3-,8,Terrorism,We win,3rd issue,Independent,Not Sure,Male,35-44,White/Caucasian
1566,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,4,National security,They lose,Top issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
1567,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,0,National security,No quote,No issue,Independent,Very Liberal,Female,35-44,African American
1568,3,NA,NA,1,NA,NA,NA,NA,NA,NA,3--1------,5,Jobs,We win,Top issue,Strong Democrat,Liberal,Male,35-44,White/Caucasian
1569,NA,NA,1,3,NA,NA,NA,NA,NA,NA,--13------,3,Education,No quote,Top issue,Independent,Very Conservative,Male,45-54,Other
1570,1,NA,NA,NA,NA,NA,3,NA,NA,NA,1-----3---,3,National security,No quote,Top issue,Lean Republican,Very Conservative,Male,45-54,White/Caucasian
1571,3,NA,1,NA,NA,NA,NA,NA,NA,NA,3-1-------,4,Education,They lose,Top issue,Independent,Moderate,Female,45-54,White/Caucasian
1572,NA,NA,NA,NA,3,NA,NA,NA,1,NA,----3---1-,3,Terrorism,No quote,Top issue,Not sure,Not Sure,Male,18-24,Hispanic
1573,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1-------3-,2,National security,We win,No issue,Independent,Conservative,Female,65 or over,White/Caucasian
1574,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,4,Health care,They lose,Top issue,Independent,Conservative,Male,45-54,White/Caucasian
1575,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,8,Health care,We win,3rd issue,Strong Republican,Very Conservative,Male,65 or over,White/Caucasian
1576,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,6,Education,No quote,3rd issue,Weak Republican,Conservative,Male,35-44,Other
1577,NA,NA,3,1,NA,NA,NA,NA,NA,NA,--31------,5,Jobs,We win,Top issue,Lean Democrat,Liberal,Female,45-54,White/Caucasian
1578,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1------3--,0,National security,No quote,No issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
1579,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,4,Social security,They lose,Top issue,Weak Republican,Moderate,Male,65 or over,White/Caucasian
1580,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,0,Health care,No quote,No issue,Independent,Moderate,Male,25-34,White/Caucasian
1581,NA,NA,3,NA,NA,NA,NA,NA,NA,1,--3------1,4,Environment,They lose,Top issue,Strong Democrat,Liberal,Male,25-34,Asian
1582,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,7,Jobs,They lose,3rd issue,Independent,Moderate,Male,25-34,African American
1583,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,3,Health care,No quote,Top issue,Strong Democrat,Very Conservative,Female,18-24,African American
1584,NA,NA,NA,NA,NA,NA,NA,1,NA,3,-------1-3,5,Social security,We win,Top issue,Independent,Moderate,Male,35-44,White/Caucasian
1585,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,8,Crime,We win,3rd issue,Strong Democrat,Conservative,Female,55-64,African American
1586,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1---3-----,7,Crime,They lose,3rd issue,Strong Republican,Moderate,Male,65 or over,White/Caucasian
1587,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,2,Education,We win,No issue,Strong Democrat,Moderate,Male,65 or over,African American
1588,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,1,Social security,They lose,No issue,Independent,Liberal,Female,65 or over,White/Caucasian
1589,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,2,Immigration,We win,No issue,Independent,Conservative,Male,35-44,White/Caucasian
1590,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,6,Social security,No quote,3rd issue,Strong Democrat,Very Liberal,Male,65 or over,White/Caucasian
1591,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Strong Democrat,Moderate,Male,55-64,White/Caucasian
1592,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,2,Environment,We win,No issue,Strong Democrat,Liberal,Female,55-64,White/Caucasian
1593,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,1,Jobs,They lose,No issue,Strong Democrat,Moderate,Female,35-44,NA
1594,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,3,Social security,No quote,Top issue,Not sure,Not Sure,Male,25-34,White/Caucasian
1595,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,4,National security,They lose,Top issue,Lean Democrat,Liberal,Female,35-44,Asian
1596,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,5,Environment,We win,Top issue,Independent,Not Sure,Male,25-34,African American
1597,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,3,Health care,No quote,Top issue,Strong Democrat,Very Liberal,Male,55-64,White/Caucasian
1598,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Strong Democrat,Very Liberal,Female,65 or over,White/Caucasian
1599,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,0,National security,No quote,No issue,Strong Republican,Conservative,Male,55-64,White/Caucasian
1600,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,3,National security,No quote,Top issue,Strong Republican,Conservative,Male,45-54,White/Caucasian
1601,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,7,Terrorism,They lose,3rd issue,Strong Republican,Very Conservative,Male,55-64,White/Caucasian
1602,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,0,Health care,No quote,No issue,Lean Democrat,Moderate,Male,35-44,White/Caucasian
1603,NA,NA,NA,NA,NA,1,NA,NA,3,NA,-----1--3-,6,Terrorism,No quote,3rd issue,Strong Democrat,Very Liberal,Male,55-64,White/Caucasian
1604,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,8,Health care,We win,3rd issue,Lean Democrat,Moderate,Male,35-44,White/Caucasian
1605,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,5,National security,We win,Top issue,Weak Republican,Liberal,Female,45-54,Hispanic
1606,NA,NA,3,NA,NA,NA,NA,1,NA,NA,--3----1--,2,Education,We win,No issue,Strong Democrat,Moderate,Male,65 or over,White/Caucasian
1607,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1----3----,3,National security,No quote,Top issue,Strong Republican,Very Conservative,Male,35-44,White/Caucasian
1608,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,5,Health care,We win,Top issue,Lean Republican,Moderate,Male,35-44,White/Caucasian
1609,NA,NA,1,NA,3,NA,NA,NA,NA,NA,--1-3-----,8,Crime,We win,3rd issue,Independent,Moderate,Male,18-24,White/Caucasian
1610,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Independent,Liberal,Male,25-34,White/Caucasian
1611,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,5,Jobs,We win,Top issue,Strong Republican,Moderate,Male,18-24,Hispanic
1612,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,4,Health care,They lose,Top issue,Lean Republican,Moderate,Female,45-54,Asian
1613,NA,NA,3,NA,1,NA,NA,NA,NA,NA,--3-1-----,5,Crime,We win,Top issue,Strong Republican,Very Conservative,Male,35-44,Hispanic
1614,NA,3,NA,NA,NA,1,NA,NA,NA,NA,-3---1----,4,Immigration,They lose,Top issue,Independent,Moderate,Male,65 or over,White/Caucasian
1615,NA,NA,NA,3,NA,NA,NA,1,NA,NA,---3---1--,6,Jobs,No quote,3rd issue,Weak Republican,Moderate,Male,55-64,White/Caucasian
1616,NA,3,NA,NA,NA,NA,1,NA,NA,NA,-3----1---,1,Drug addiction,They lose,No issue,Independent,Very Liberal,Female,18-24,White/Caucasian
1617,1,NA,3,NA,NA,NA,NA,NA,NA,NA,1-3-------,4,National security,They lose,Top issue,Not sure,Moderate,Male,35-44,White/Caucasian
1618,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,4,Health care,They lose,Top issue,Lean Republican,Moderate,Male,35-44,White/Caucasian
1619,NA,NA,NA,NA,NA,3,NA,NA,1,NA,-----3--1-,6,Immigration,No quote,3rd issue,Independent,Very Conservative,Male,65 or over,White/Caucasian
1620,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,2,Social security,We win,No issue,Strong Democrat,Liberal,Male,65 or over,White/Caucasian
1621,NA,NA,NA,3,1,NA,NA,NA,NA,NA,---31-----,8,Jobs,We win,3rd issue,Strong Democrat,Conservative,Female,25-34,Hispanic
1622,NA,3,NA,NA,NA,NA,NA,1,NA,NA,-3-----1--,5,Social security,We win,Top issue,Weak Republican,Moderate,Female,55-64,White/Caucasian
1623,NA,NA,NA,3,NA,1,NA,NA,NA,NA,---3-1----,2,Immigration,We win,No issue,Strong Democrat,Very Liberal,Male,45-54,White/Caucasian
1624,1,NA,NA,3,NA,NA,NA,NA,NA,NA,1--3------,0,National security,No quote,No issue,Lean Democrat,Moderate,Female,55-64,White/Caucasian
1625,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,0,Health care,No quote,No issue,Weak Republican,Conservative,Male,35-44,White/Caucasian
1626,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,4,Health care,They lose,Top issue,Independent,Moderate,Female,55-64,White/Caucasian
1627,NA,NA,NA,1,3,NA,NA,NA,NA,NA,---13-----,6,Crime,No quote,3rd issue,Lean Republican,Moderate,Male,35-44,African American
1628,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,7,Immigration,They lose,3rd issue,Independent,Moderate,Male,45-54,White/Caucasian
1629,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,2,Health care,We win,No issue,Independent,Liberal,Male,65 or over,White/Caucasian
1630,NA,NA,NA,NA,NA,NA,NA,3,NA,1,-------3-1,4,Environment,They lose,Top issue,Strong Democrat,Very Liberal,Male,65 or over,White/Caucasian
1631,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,8,Health care,We win,3rd issue,Not sure,Liberal,Female,18-24,White/Caucasian
1632,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,4,Health care,They lose,Top issue,Independent,Not Sure,Female,55-64,White/Caucasian
1633,NA,1,NA,NA,NA,NA,NA,3,NA,NA,-1-----3--,3,Health care,No quote,Top issue,Independent,Very Liberal,Male,55-64,White/Caucasian
1634,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,-1--------,2,Health care,We win,No issue,Lean Republican,Not Sure,Female,55-64,White/Caucasian
1635,NA,1,NA,NA,NA,3,NA,NA,NA,NA,-1---3----,3,Health care,No quote,Top issue,Lean Republican,Conservative,Male,65 or over,White/Caucasian
1636,NA,NA,NA,1,NA,NA,NA,3,NA,NA,---1---3--,3,Jobs,No quote,Top issue,Strong Democrat,Moderate,Female,55-64,African American
1637,NA,NA,NA,NA,NA,NA,1,NA,NA,3,------1--3,5,Drug addiction,We win,Top issue,Lean Democrat,Liberal,Female,55-64,White/Caucasian
1638,NA,3,NA,NA,NA,NA,NA,NA,NA,1,-3-------1,5,Environment,We win,Top issue,Weak Republican,Moderate,Male,55-64,White/Caucasian
1639,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,2,Health care,We win,No issue,Strong Democrat,Liberal,Male,18-24,Asian
1640,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,2,Jobs,We win,No issue,Not sure,Moderate,Female,45-54,White/Caucasian
1641,3,NA,NA,NA,NA,NA,NA,1,NA,NA,3------1--,4,Social security,They lose,Top issue,Strong Republican,Conservative,Male,65 or over,White/Caucasian
1642,NA,1,NA,NA,NA,NA,NA,NA,NA,3,-1-------3,5,Health care,We win,Top issue,Strong Democrat,Liberal,Male,55-64,White/Caucasian
1643,NA,3,NA,1,NA,NA,NA,NA,NA,NA,-3-1------,4,Jobs,They lose,Top issue,Lean Democrat,Conservative,Male,35-44,White/Caucasian
1644,NA,NA,NA,1,NA,3,NA,NA,NA,NA,---1-3----,5,Jobs,We win,Top issue,Lean Republican,Moderate,Male,65 or over,White/Caucasian
1645,NA,1,NA,3,NA,NA,NA,NA,NA,NA,-1-3------,4,Health care,They lose,Top issue,Independent,Not Sure,Male,35-44,White/Caucasian
1646,NA,1,3,NA,NA,NA,NA,NA,NA,NA,-13-------,2,Education,We win,No issue,Strong Democrat,Liberal,Male,25-34,White/Caucasian
1647,NA,NA,NA,NA,3,NA,NA,1,NA,NA,----3--1--,8,Crime,We win,3rd issue,Independent,Moderate,Male,25-34,African American
1648,NA,1,NA,NA,NA,NA,NA,NA,3,NA,-1------3-,6,Terrorism,No quote,3rd issue,Strong Democrat,Moderate,Female,55-64,African American
1649,NA,NA,NA,NA,NA,3,NA,NA,1,NA,-----3--1-,5,Terrorism,We win,Top issue,Lean Democrat,Conservative,Female,55-64,White/Caucasian
1650,3,1,NA,NA,NA,NA,NA,NA,NA,NA,31--------,5,Health care,We win,Top issue,Weak Democrat,Conservative,Female,65 or over,White/Caucasian
1651,NA,1,NA,NA,3,NA,NA,NA,NA,NA,-1--3-----,6,Crime,No quote,3rd issue,Not sure,Not Sure,Female,45-54,African American
1652,NA,3,NA,NA,NA,NA,1,NA,NA,NA,-3----1---,1,Drug addiction,They lose,No issue,Lean Republican,Conservative,Male,25-34,Native American
